Município;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Natal (RN);4182178.944;4348420.272;4966793.875;5690088.104;6588496.169;7954796.485;8420162.783;10143834.07;11221667.053;12788620.425;14491322.34;16244550.063;16879339.593;18151059.164;18937852.78;20296907.662;20107582.401;20958388.943;19581037.109;20775623.021
Nísia Floresta (RN);56502.61;70853.522;75299.413;84490.097;105723.571;108972.178;116240.627;137868.601;151256.709;168580.177;192739.255;235068.274;262772.174;288684.601;322768.354;342801.727;410604.513;412543.37;421096.113;441744.09
Nova Cruz (RN);70211.073;82369.426;92706.496;102107.81;118018.76;139622.649;155183.107;193123.961;223035.652;228840.619;263565.178;297568.159;326861.048;369254.259;405285.759;413229.156;404222.743;423565.748;474003.064;492631.947
Olho d'Água do Borges (RN);7890.426;8755.429;9421.61;11003.136;12675.018;14670.727;16590.438;19530.395;20674.452;24871.547;25081.805;29380.635;31135.607;31869.713;32732.626;33490.701;36534.399;47960.151;48816.439;45635.936
Ouro Branco (RN);18370.093;16532.887;20031.362;20694.709;21039.2;29160.904;22410.595;21943.589;22019.348;27316.993;29305.635;32643.028;36104.916;38183.988;41136.144;45072.775;46711.752;51039.721;51765.699;57856.99
Paraná (RN);6401.114;7653.242;9120.379;9428.458;10643.187;13013.947;14636.651;15706.989;17140.225;19052.188;19721.27;24901.851;26756.302;28589.177;28661.237;32153.93;32626.711;36588.142;38782.761;42518.455
Paraú (RN);13839.485;8837.07;9562.154;12694.082;12167.144;14634.573;16161.901;18154.488;19931.102;21232.566;23033.95;30207.369;29715.526;30246.437;33087.202;39611.808;40794.219;44722.37;48296.607;52274.308
Parazinho (RN);9289.371;10168.559;11468.991;11998.307;13042.887;17407.462;19605.159;21336.402;19891.772;82793.539;330077.351;184933.659;196045.288;217637.86;314651.156;407388.934;400337.096;325939.894;391314.819;595045.648
Parelhas (RN);43404.134;46330.348;52020.637;61451.769;69599.855;87156.75;93673.59;101628.247;121538.388;170593.627;185078.944;211261.669;215429.179;289274.299;277784.682;296959.613;300747.777;316043.807;318042.299;338472.284
Rio do Fogo (RN);19159.072;22267.012;23958.796;26732.884;30716.895;34885.36;39809.921;45612.337;50402.745;57774.437;68650.661;78911.606;97783.751;98333.212;104685.763;164359.012;162625.974;158313.974;167676.73;176115.121
